Coefficients,Instruments
0.7286176,
6.09093,
13.0611515,3;1
20.201157,3;1
25.781052,3;1
30.580814,3;1
35.690277,3;1
37.83082,3;1
37.809845,3;1
36.763638,3;1
36.719604,3;1
38.476753,3;1
40.13694,3;1
44.478218,3;1
59.760513,3;1
75.80856,3;1
97.08334,3;1
117.71962,3;1
131.42923,3;1
139.9101,3;1
144.37244,3;1
146.77792,3;1
148.70728,3;1
149.61784,3;1
149.12769,3;1
148.02896,3;1
147.66037,3;1
148.47108,3;1
149.3028,3;1
148.62112,3;1
147.91272,3;1
147.51273,3;1
146.63358,3;1
145.79837,3;1
145.73297,3;1
146.64987,3;1
147.73276,3;1
147.85774,3;1
146.98595,3;1
146.05222,3;1
146.53531,3;1
146.30383,3;1
144.31317,3;1
142.0605,3;1
140.15018,3;1
140.10867,3;1
140.6386,3;1
140.58627,3;1
140.60236,3;1
141.74017,3;1
142.80446,3;1
143.04034,3;1
141.91406,3;1
140.39386,3;1
140.17145,3;1
140.66641,3;1
140.2172,3;1
139.28024,3;1
140.18033,3;1
142.21245,3;1
142.93628,3;1
142.44122,3;1
141.06888,3;1
139.14767,3;1
137.5292,3;1
138.5474,3;1
141.762,3;1
144.69028,3;1
145.7655,3;1
144.33408,3;1
141.59372,3;1
138.8964,3;1
137.88559,3;1
137.50128,3;1
137.43689,3;1
137.83777,3;1
137.39378,3;1
137.0943,3;1
136.24396,3;1
136.34283,3;1
136.14795,3;1
135.25327,3;1
133.38197,3;1
132.01186,3;1
131.92963,3;1
132.1596,3;1
131.70737,3;1
130.63821,3;1
133.24875,3;1
135.82559,3;1
135.56552,3;1
132.30693,3;1
128.8944,3;1
126.87875,3;1
126.03363,3;1
125.56366,3;1
126.009384,3;1
128.00899,3;1
130.65503,3;1
133.50446,3;1
134.84691,3;1
135.061,3;1
134.63147,3;1
134.10144,3;1
131.45656,3;1
127.50711,3;1
123.61604,3;1
123.78299,3;1
125.27605,3;1
126.06976,3;1
127.63087,3;1
129.10867,3;1
129.90784,3;1
