Coefficients,Instruments
11.599236,
22.690601,
32.334515,8;9;7
35.77166,8;9;7
35.953316,8;9;7
36.21625,8;9;7
35.799408,8;9;7
34.105156,8;9;7
31.98634,8;9;7
30.6847,8;9;7
30.585934,8;9;7
31.301983,8;9;7
33.09063,8;9;7
37.0662,8;9;7
42.844757,8;9;7
46.37194,8;9;7
45.720726,8;9;7
41.871796,8;9;7
37.629456,8;9;7
36.90609,8;9;7
37.37111,8;9;7
37.365482,8;9;7
36.75174,8;9;7
37.15305,8;9;7
38.88752,8;9;7
40.041237,8;9;7
38.98127,8;9;7
36.721092,8;9;7
36.703545,8;9;7
38.634888,8;9;7
40.28559,8;9;7
41.57368,8;9;7
41.798088,8;9;7
40.71762,8;9;7
39.922874,8;9;7
39.912525,8;9;7
40.234093,8;9;7
40.454025,8;9;7
41.11918,8;9;7
41.678032,8;9;7
41.520416,8;9;7
40.745018,8;9;7
39.916542,8;9;7
40.03833,8;9;7
40.20497,8;9;7
40.038006,8;9;7
40.941902,8;9;7
42.314384,8;9;7
42.42257,8;9;7
42.44026,8;9;7
42.646637,8;9;7
43.122833,8;9;7
43.599518,8;9;7
42.961754,8;9;7
41.269745,8;9;7
41.20706,8;9;7
43.11914,8;9;7
44.88515,8;9;7
45.321,8;9;7
44.930904,8;9;7
44.023727,8;9;7
43.83658,8;9;7
45.70936,8;9;7
48.236023,8;9;7
48.693787,8;9;7
46.98003,8;9;7
45.19341,8;9;7
44.583992,8;9;7
45.357864,8;9;7
48.387962,8;9;7
51.43241,8;9;7
52.403732,8;9;7
52.32381,8;9;7
52.485626,8;9;7
53.77526,8;9;7
54.772324,8;9;7
54.856415,8;9;7
55.32303,8;9;7
56.333035,8;9;7
57.55945,8;9;7
57.762745,8;9;7
57.223434,8;9;7
57.374012,8;9;7
58.00807,8;9;7
58.172813,8;9;7
56.97886,8;9;7
55.270325,8;9;7
54.18416,8;9;7
54.531776,8;9;7
54.939144,8;9;7
54.574165,8;9;7
54.905792,8;9;7
55.134842,8;9;7
54.984665,8;9;7
53.549896,8;9;7
52.231693,8;9;7
52.07596,8;9;7
52.310547,8;9;7
51.39803,8;9;7
49.77167,8;9;7
48.429245,8;9;7
47.329132,8;9;7
45.86634,8;9;7
42.927345,8;9;7
40.060406,8;9;7
39.883926,8;9;7
41.616455,8;9;7
44.03824,8;9;7
44.820526,8;9;7
43.644745,8;9;7
42.433647,8;9;7
43.677673,8;9;7
46.170742,8;9;7
48.534943,8;9;7
73.38116,8;9;7
98.49309,8;9;7
114.977554,8;9;7
127.30171,8;9;7
135.94247,8;9;7
150.35611,8;9;7
165.98203,8;9;7
175.6962,8;9;7
178.89738,8;9;7
177.11447,8;9;7
172.64206,8;9;7
168.22601,8;9;7
165.47699,8;9;7
162.95145,8;9;7
160.18301,8;9;7
158.3209,8;9;7
157.63173,8;9;7
158.52267,8;9;7
159.47427,8;9;7
158.74667,8;9;7
157.59012,8;9;7
157.04225,8;9;7
156.3034,8;9;7
156.01659,8;9;7
155.55946,8;9;7
153.56915,8;9;7
151.39668,8;9;7
149.12144,8;9;7
146.64807,8;9;7
144.50093,8;9;7
143.69684,8;9;7
144.2487,8;9;7
145.30132,8;9;7
145.31985,8;9;7
144.3176,8;9;7
142.38235,8;9;7
140.44507,8;9;7
139.79657,8;9;7
138.01926,8;9;7
138.7385,8;9;7
142.24715,8;9;7
148.04465,8;9;7
152.3911,8;9;7
152.77258,8;9;7
150.17651,8;9;7
146.6156,8;9;7
143.96922,8;9;7
142.9138,8;9;7
141.48541,8;9;7
142.35895,8;9;7
141.43698,8;9;7
142.15976,8;9;7
143.8046,8;9;7
144.7787,8;9;7
145.98366,8;9;7
144.96603,8;9;7
143.18982,8;9;7
141.75229,8;9;7
140.94775,8;9;7
141.8771,8;9;7
143.72986,8;9;7
144.13243,8;9;7
145.0703,8;9;7
146.19318,8;9;7
147.08203,8;9;7
147.48535,8;9;7
147.39531,8;9;7
147.10828,
145.0597,
143.97295,
143.98743,
144.52444,
144.56775,
143.93399,
146.14456,
147.36053,
146.06093,
144.33585,
141.53647,
137.9526,
133.87967,
128.41287,
122.82175,
118.91601,
113.680725,
108.494286,
106.31722,
108.02261,
111.55836,
118.805595,
138.75139,8;9;7
161.10324,8;9;7
173.70882,8;9;7
180.10187,8;9;7
182.25157,8;9;7
181.39038,8;9;7
179.9353,8;9;7
178.80869,8;9;7
175.46475,8;9;7
170.27982,8;9;7
165.8992,8;9;7
163.25162,8;9;7
161.34927,8;9;7
160.37933,8;9;7
161.46768,8;9;7
162.12291,8;9;7
161.13669,8;9;7
160.51111,8;9;7
161.09372,8;9;7
161.10228,8;9;7
159.62738,8;9;7
157.51389,8;9;7
155.72949,8;9;7
154.23944,8;9;7
154.41788,8;9;7
156.91257,8;9;7
159.68237,8;9;7
160.8997,8;9;7
159.79918,8;9;7
158.50052,8;9;7
157.72087,8;9;7
157.25606,8;9;7
156.05103,8;9;7
154.41779,8;9;7
155.7117,8;9;7
158.05045,8;9;7
159.5596,8;9;7
160.1818,8;9;7
159.85251,8;9;7
159.3929,8;9;7
159.14624,8;9;7
158.8899,8;9;7
157.7771,8;9;7
156.34752,8;9;7
155.64879,8;9;7
154.60526,8;9;7
152.734,8;9;7
151.8216,8;9;7
150.00385,8;9;7
148.25339,8;9;7
147.16705,8;9;7
145.88193,8;9;7
145.99655,8;9;7
144.87006,8;9;7
141.04144,
135.55334,
129.9047,
126.106415,
124.81481,
125.05269,
124.10307,
121.810005,8;9;7
121.23959,8;9;7
123.571976,8;9;7
131.4559,8;9;7
141.84607,8;9;7
158.86093,8;9;7
173.40656,8;9;7
179.80774,8;9;7
179.24689,8;9;7
175.46576,8;9;7
168.84534,8;9;7
159.88235,8;9;7
154.54471,8;9;7
151.25595,
149.26999,
149.77545,
152.74445,
153.74678,
152.31946,
147.9885,
143.84683,
141.5456,
140.18008,
137.3683,
133.25653,
131.13197,
131.21521,
131.85818,
136.15997,
150.81198,
171.28891,
185.09845,
190.86884,
191.08395,
187.84933,
184.15967,
181.23845,
179.18506,8;9;7
176.76685,8;9;7
174.94751,8;9;7
173.6008,8;9;7
171.97264,8;9;7
169.30698,8;9;7
166.47827,8;9;7
165.55026,8;9;7
165.54591,8;9;7
166.12436,8;9;7
166.25674,8;9;7
166.3852,8;9;7
164.39844,8;9;7
160.80563,8;9;7
158.63097,8;9;7
159.37985,8;9;7
160.87984,8;9;7
161.33188,8;9;7
159.76727,8;9;7
156.55133,8;9;7
154.67552,8;9;7
152.82451,8;9;7
151.13968,8;9;7
150.25804,8;9;7
148.64597,8;9;7
148.5015,8;9;7
150.71222,8;9;7
152.3139,8;9;7
151.91504,8;9;7
149.9909,8;9;7
147.04102,
143.65051,
141.82562,
140.44016,
138.32925,
137.48044,
135.81403,
133.34152,
131.45508,
130.4833,
129.63448,
127.924416,
125.90599,
123.29294,
119.21419,
115.64087,
111.549774,
107.13023,
103.59303,
102.5099,
102.509705,
102.887024,
102.59167,
100.16364,
96.394226,
93.23761,
93.56561,
97.065765,
98.70572,
97.73895,
99.15759,
113.31927,
133.56131,8;9
145.62067,8;9
152.51581,8;9
154.37204,8;9
151.86798,8;9
147.0328,8;9
144.62585,8;9
149.60873,8;9
159.11362,8;9
167.94514,8;9
173.11679,8;9
175.29337,8;9
174.31802,8;9
169.48224,8;9
164.60106,8;9
162.0404,8;9
161.52272,8;9
162.06766,9;8
164.40952,9;8
169.14206,9;8
170.77159,9;8
166.99442,9;8
160.14536,9;8
152.31354,9;8
146.05981,9;8
144.96362,9;8
146.48093,9;8
148.82397,9;8
150.1875,9;8
150.87888,8;9
150.50496,8;9
149.64383,8;9
148.69717,8;9
147.61194,8;9
146.11932,8;9
144.67548,8;9
146.51086,8;9
152.51532,8;9
158.58261,8;9
162.36378,8;9
164.13226,8;9
164.91003,8;9
164.23569,8;9
162.5062,8;9
160.90015,8;9
163.19684,8;9
168.31139,8;9
172.00563,8;9
174.14864,8;9
177.18723,8;9
180.09885,8;9
180.96225,8;9
180.0192,8;9
178.45573,8;9
177.78653,8;9
177.1587,8;9
176.2293,8;9
176.55565,8;9
177.41495,8;9
177.21652,8;9
175.95628,8;9
174.70392,8;9
173.01538,8;9
170.92264,8;9
168.55652,8;9
167.33002,8;9
167.95644,8;9
167.1907,8;9
167.71599,8;9
169.24321,8;9
170.15295,8;9
168.44827,8;9
164.8693,8;9
163.55862,8;9
163.08536,8;9
162.30771,8;9
161.60454,8;9
166.69588,8;9
177.5996,8;9
184.94968,8;9
187.4325,8;9
184.89691,8;9
178.05487,8;9
169.363,8;9
168.02838,8;9
173.7753,8;9
180.53192,8;9
183.11533,8;9
183.08647,9;8
181.42836,9;8
177.27643,9;8
172.57776,9;8
170.11417,9;8
168.5039,
167.25285,9;8;7
166.16891,9;8;7
170.58813,9;8;7
176.03355,9;8;7
178.30096,9;8;7
178.12904,9;8;7
176.38272,9;8;7
174.23186,9;8;7
172.01779,9;8;7
169.11092,9;8;7
166.72182,9;8;7
164.4209,9;8;7
162.78314,9;8;7
162.16333,9;8;7
160.74973,9;8;7
157.9144,9;8;7
153.22868,
147.8613,
143.41458,
139.08316,
135.66302,
135.34668,
134.99393,
132.87198,
129.17053,
126.13611,
126.016,
126.9194,
127.54877,
126.9308,
124.71165,
122.20369,
120.143585,
117.02847,
113.404625,
109.04535,
105.38118,
117.41182,8;9;7
141.41064,8;9;7
155.25563,8;9;7
161.58429,8;9;7
162.15472,8;9;7
159.78459,8;9;7
156.95392,8;9;7
155.18674,8;9;7
154.51025,8;9;7
155.03287,8;9;7
154.70056,8;9;7
151.47598,8;9;7
147.49199,8;9;7
142.95282,8;9;7
140.22476,8;9;7
138.5611,8;9;7
136.14948,
134.04764,
132.36118,
132.09933,
132.4808,
130.92706,
136.28543,
152.67578,
165.5869,
172.10815,
174.43732,
174.56866,
176.4483,
179.07924,
178.83759,
174.28482,
168.96783,
165.7933,
164.4182,
164.2251,
165.531,
167.79492,
168.22263,
168.68567,
171.5679,
173.96106,8;9;7
175.0582,8;9;7
174.06543,8;9;7
171.86557,8;9;7
169.75847,8;9;7
167.35495,8;9;7
164.79001,8;9;7
162.56645,8;9;7
160.28302,8;9;7
160.06047,8;9;7
159.5701,8;9;7
157.96494,8;9;7
156.92795,8;9;7
157.1206,8;9;7
158.0068,8;9;7
159.05768,8;9;7
159.39648,8;9;7
159.54678,8;9;7
160.56186,8;9;7
162.1263,8;9;7
162.6737,8;9;7
162.33191,8;9;7
161.69452,8;9;7
160.06244,8;9;7
158.28448,8;9;7
156.25381,8;9;7
154.02747,8;9;7
153.31067,8;9;7
153.7186,8;9;7
152.63737,8;9;7
151.62198,8;9;7
151.12234,8;9;7
150.37619,8;9;7
150.83655,8;9;7
152.68945,8;9;7
153.14969,8;9;7
150.46983,8;9;7
146.11191,8;9;7
143.55908,8;9;7
143.02606,8;9;7
142.2251,8;9;7
141.3786,8;9;7
140.70276,8;9;7
140.59714,8;9;7
140.85057,8;9;7
142.75682,8;9;7
143.09546,8;9;7
143.22144,8;9;7
143.60197,8;9;7
141.1384,8;9
137.25888,8;9
135.6533,8;9
137.73883,8;9
144.69046,8;9
153.03677,8;9
159.41911,8;9
163.59576,8;9;7
168.75558,8;9;7
173.89572,8;9;7
176.48666,8;9;7
175.94696,8;9;7
173.55078,8;9;7
172.49904,8;9;7
171.18665,8;9;7
169.66324,8;9;7
171.05498,8;9;7
173.18336,8;9;7
174.87607,8;9;7
175.52522,9;8;7
174.75095,9;8;7
173.82925,9;8;7
173.18607,9;8;7
172.38776,9;8;7
173.58066,9;8;7
175.77481,9;8;7
177.3959,9;8
178.85841,
182.8799,8;9;7
188.3703,8;9;7
192.70964,8;9;7
192.85127,8;9;7
189.87616,8;9;7
186.23387,8;9;7
182.66745,8;9;7
178.34085,8;9;7
173.45218,8;9;7
171.09491,8;9;7
169.82275,8;9;7
168.74725,8;9;7
166.63506,8;9;7
163.90971,8;9;7
161.14142,8;9;7
159.90146,8;9;7
159.48235,8;9;7
160.99017,8;9;7
162.60187,8;9;7
162.88431,8;9;7
161.51628,8;9;7
159.38306,8;9;7
158.26709,8;9;7
157.35622,8;9;7
157.42303,8;9;7
156.32101,8;9;7
155.2932,8;9;7
155.72342,8;9;7
155.21368,8;9;7
153.71951,8;9;7
150.05115,8;9;7
144.42502,8;9;7
139.23853,8;9;7
134.62918,8;9;7
131.84645,8;9;7
130.86322,8;9;7
130.42575,8;9;7
129.18407,8;9;7
126.30385,8;9;7
123.46536,8;9;7
122.9743,8;9;7
122.46062,
120.76701,
119.124435,
117.65287,
115.903854,
113.42445,
108.665115,
104.38132,
102.117615,
102.883484,
103.657486,
102.39049,
99.54416,
96.26323,
93.33099,
90.08874,
89.38643,
91.76772,
93.704605,
94.19571,
91.33004,
89.47109,
103.69245,
119.59058,8;9
133.17174,8;9
141.58122,8;9
144.55585,8;9
143.80643,8;9
140.08344,8;9
135.73724,8;9
134.74878,8;9
143.25348,8;9
156.04132,8;9
165.9415,8;9
171.49115,8;9
