Coefficients,1,2,3,4,5,6,7,8,9,10,11,12,Instruments
-494.8309,6.7304964,6.1104527,5.217334,4.225438,3.318163,2.6495185,2.3163562,2.3453946,2.694374,3.2639844,3.9168026,4.5007925,1
-475.96286,28.352453,17.390545,8.9866,5.043693,1.9960287,-0.91423434,-0.003123045,5.6519823,10.745422,10.46056,7.1515026,6.5509863,0
-457.40802,46.833714,21.678253,6.907715,5.259674,3.8691382,-1.2095418,-1.0836858,7.1321974,13.43615,10.735693,5.4551706,6.2849083,0
-444.92584,57.97995,21.203835,2.049994,3.9967418,6.0385146,0.5183547,-0.63562715,7.4618726,13.468049,10.134401,5.5359526,7.726931,0
-438.3951,62.609802,18.707172,-1.2742152,3.8361647,6.7663174,0.76288664,0.6620324,8.874132,12.45056,8.4318905,6.6279497,9.720578,0
-436.61823,63.232876,16.967306,-2.2783175,4.2516203,6.702313,0.5466976,1.7956917,9.690099,10.612484,5.7984176,6.176229,10.053413,0
-437.44308,61.77279,16.151314,-1.2733405,5.1947412,5.886197,-0.07854757,2.6723955,9.594928,7.9977703,2.8687003,4.81522,9.571838,0
-438.7427,60.86498,17.314781,1.0344633,6.3294992,5.309996,-0.41796172,3.4967585,9.935386,6.6427298,0.91888964,3.862946,10.184716,0
-438.92462,61.390793,18.946535,2.7348585,7.392903,5.217885,-1.8771617,2.2217062,10.611265,8.145744,1.051988,3.2689028,11.001199,0
-437.33466,62.8343,18.83499,2.1456037,7.6776986,5.3354306,-3.9790864,-0.7857915,10.54958,11.445132,3.8218381,3.3325534,10.54501,0
-436.33057,63.710236,18.293564,0.6885956,7.232916,6.215157,-4.072034,-2.4101737,10.65004,15.042028,7.4890366,3.534567,8.896309,0
-435.39557,65.04439,18.761745,-0.43801767,6.324769,7.3853054,-2.3515925,-2.162087,10.828856,16.951742,9.264032,2.7671344,6.926216,0
-433.27045,67.25952,18.983051,-1.9727486,5.0730476,8.307192,0.19472802,-0.23370174,10.996363,16.205727,8.809995,2.8206193,6.8890915,0
-432.15643,67.99109,18.535835,-2.4167924,5.237172,9.211605,2.3354352,2.3132918,11.384104,13.924034,7.0161233,3.6921873,8.216078,0
-431.60046,66.729706,15.979918,-1.6456912,8.453253,11.005838,3.5615368,4.361305,11.211504,10.856992,5.897769,5.987705,9.323568,0
-431.4009,64.642105,12.21455,-1.5776639,12.198657,13.758131,4.346286,4.1739917,9.085309,7.9465714,5.904617,8.22741,9.608356,0
-431.0678,63.683136,9.830414,-2.2625363,14.0920925,15.923993,5.059608,3.3802567,7.164108,5.931882,5.1021543,8.426626,9.737318,0
-430.02002,64.85518,9.935497,-3.0518775,14.106438,17.257156,5.9333286,3.1013577,7.164127,6.2770996,4.302099,7.2028666,10.360636,0
-428.63492,67.41885,12.026388,-3.2997236,13.497686,18.233648,6.2645426,1.8168659,7.2368727,7.8552475,3.7239914,4.722809,9.936592,0
-427.676,69.67876,14.679535,-2.3954673,13.2564535,18.285557,5.4769907,-0.26928693,6.272738,8.62838,3.3112512,1.8450546,6.8636904,0
-428.64456,69.27092,15.695719,-1.6112987,12.561197,16.714762,3.75395,-2.3354702,4.2938643,7.7828646,2.9217343,-0.07117295,3.4515262,0
-431.2642,66.31387,14.220508,-2.3804986,11.318771,15.1282425,2.727557,-3.1661696,2.4443235,5.3099623,1.54333,-0.24933457,2.7683969,0
-433.47696,64.14831,13.3091755,-3.53899,9.50318,13.74338,2.4148684,-2.9089575,2.3730373,4.779435,1.7448769,1.4936244,4.593978,0
-434.56363,63.46576,13.644438,-3.82275,8.079254,12.575129,2.5886855,-1.7293853,3.850943,6.1836915,2.9292946,2.6670394,6.088545,0
-435.4792,62.627342,13.551844,-3.9584355,7.0587773,11.051212,1.893934,-0.8493823,5.702115,7.747751,3.2950075,1.9373889,5.5252733,0
-435.8599,62.38848,13.768837,-3.900506,6.1947303,9.246633,0.19188368,-1.0251517,7.443637,9.975143,3.9846408,0.74558175,4.150936,0
-435.43762,63.790558,15.870743,-2.9410386,5.6646256,8.47169,-0.38169897,-1.3956048,8.190323,12.061032,5.6906695,0.7959517,3.3210478,0
-435.12534,65.76201,19.349777,-0.9708304,5.9982996,9.525736,1.0609388,-1.4870379,7.611885,13.250203,7.9273176,2.0548859,3.3932605,0
-435.60672,66.179184,21.531113,1.6639727,8.258051,11.697241,2.9009337,-0.8458259,7.1530485,12.915577,8.700562,3.8333,4.981887,0
-436.97403,64.813065,21.823177,3.7771187,10.700376,13.002594,3.491894,-0.103081286,7.217521,11.4319725,7.402804,5.0807333,7.8511305,0
-438.7696,62.82067,21.232721,4.374629,11.077438,12.4325695,3.106953,0.5660811,7.6160164,10.265496,6.134491,5.925809,10.232552,0
-441.08875,60.56265,20.695156,3.993898,9.35428,10.401694,2.837612,1.6368551,7.55926,8.558409,4.8840804,6.2451296,10.9183855,0
-444.19476,57.837845,20.580421,4.0139008,7.8706603,9.154293,3.6274962,2.888166,6.7189856,6.137351,3.2431352,5.7240634,10.088259,0
-446.1768,56.962322,22.687847,6.360875,8.741562,10.021137,5.584942,4.3671775,6.2854137,4.7804346,2.2735372,4.6645765,8.049143,0
-445.9402,58.625313,26.120972,9.301989,10.113352,10.821114,5.948839,3.224731,4.0450053,3.19591,1.5679165,3.5373893,6.3309298,0
-444.33377,61.337955,29.158096,11.5993805,11.467682,11.523048,5.27997,0.58757085,0.828245,1.354933,1.1261537,3.3657308,6.495386,0
-444.53146,61.778667,30.64031,13.066508,12.319811,11.928467,4.980208,-0.7275692,-0.5548537,1.2830296,2.2147126,4.3353987,7.152815,0
-446.20755,60.11142,30.57206,13.134335,11.740605,11.755959,5.3539352,0.27581286,0.63372946,3.005291,4.214608,5.31636,7.936638,0
-447.4033,58.59682,29.067442,11.279596,10.3334465,12.271467,7.747742,2.644504,1.7315313,3.5146213,5.004524,6.0018764,8.002563,0
-447.67563,57.94895,27.225681,9.04733,9.509769,13.772241,10.928074,4.4136724,0.95452183,1.3940662,3.4075003,5.623617,7.2692094,0
-448.6729,56.41046,25.745262,8.348066,10.004261,15.125154,12.344112,4.960511,0.006133491,-0.6914308,1.3793657,4.394804,6.486747,0
-449.41254,55.449127,25.547108,9.553724,11.624447,15.53153,11.795431,5.0968695,0.9597108,-0.5143183,0.10547039,2.65477,4.9854755,0
-447.8338,56.76092,26.128342,11.305188,13.698252,14.996135,9.162714,4.395847,3.45213,1.7867153,-0.40095595,0.6224514,3.271319,0
-445.83475,58.15512,25.844147,11.619379,14.303846,13.653204,7.1117916,5.274542,6.871143,3.524398,-1.76185,-1.0768378,2.9633548,0
-445.58466,58.001045,24.965412,10.644158,13.287118,12.309503,6.328555,6.442188,9.502434,5.3828683,-1.7607241,-1.7342167,2.9362571,0
-446.01056,56.83553,22.729122,8.204456,12.073002,12.444681,6.582892,6.452998,10.377514,7.362872,-0.21392328,-1.5209279,2.783217,0
-446.16806,55.74385,20.042797,5.298503,10.998434,13.173327,7.0771494,5.9606133,10.47258,8.821848,1.0236577,-1.7014635,2.061786,0
-445.0311,56.149475,18.544003,3.3486767,9.521076,11.922206,6.1448536,5.786119,10.941744,9.588853,1.8046756,-1.5017946,1.3628082,0
-444.8723,56.04324,18.13779,3.027309,8.711117,10.248058,4.9064207,6.265062,12.542807,11.157051,3.067553,-0.71214515,1.4392734,0
-445.19077,56.427628,19.639652,3.9685955,7.883434,8.499701,3.8536072,6.5807285,14.026072,13.37891,5.1576586,0.019358516,0.5791408,0
-444.89114,57.892326,21.913929,4.4902425,6.389636,7.2419395,3.295092,5.215415,12.374761,13.842432,7.4864597,0.7284616,-2.1783972,0
-444.95004,59.159065,24.318092,5.035677,5.1466646,7.0591984,3.9812067,3.8932705,9.332657,12.507739,8.654647,1.5215496,-3.5948308,0
-445.74115,59.613823,26.584797,6.302247,5.0410705,7.8100963,5.506658,3.8141623,7.3468,10.568478,7.773694,1.5896926,-2.4568813,0
-446.31766,59.332542,27.399662,7.682049,5.886861,7.771483,5.3871093,4.118927,6.9643173,8.1472435,4.3645144,0.28409192,-0.2702821,0
-446.3925,59.420105,28.019218,8.579674,5.93567,6.410162,3.9866424,4.3296776,7.9325924,7.39579,1.6684965,-1.5595459,0.5993678,0
-445.56454,60.35868,28.334927,8.158129,5.1382236,5.9450617,4.3172846,5.1956396,8.676145,7.739846,1.8792512,-1.2918248,0.61448574,0
-444.81024,61.01214,27.971813,6.9966354,4.534655,7.197666,6.591875,5.958949,7.2874136,6.8020086,3.2933803,0.62880325,0.67750937,0
-444.807,60.85339,27.35849,6.208501,4.7526374,9.000897,8.27845,5.24424,4.845654,5.729521,4.513845,1.7811525,0.56800777,0
-444.38065,60.686615,26.130516,5.5565815,6.0330377,11.251725,9.315716,4.4968023,4.0097923,6.324146,5.8280563,2.2312639,0.5280357,0
-442.4218,61.75673,24.875113,5.0556726,7.9422026,13.351505,9.72222,5.0049543,6.736024,9.639462,6.656028,0.68323636,-0.52455544,0
-439.80646,62.316658,22.022995,4.905682,11.648442,15.736713,8.938223,5.228015,10.351528,12.921455,5.859397,-2.286927,-2.1101532,0
-434.02472,64.17641,16.989782,3.3784595,13.728615,14.365367,5.1029844,4.0753765,11.666973,13.987279,6.9645433,-0.07688379,-0.696939,0
-427.97964,67.40638,13.445433,0.8291773,12.817713,9.931844,-1.1692481,0.8327087,10.492826,13.089706,8.58872,4.3724318,2.938349,0
-423.22247,70.8517,11.049318,-3.3460765,10.462955,7.4416103,-5.5118895,-3.4801638,7.2361374,11.64753,11.638664,11.390634,8.7179,0
-418.5851,74.89644,9.345184,-8.310337,8.396093,8.95014,-5.9676514,-8.205931,2.0746841,10.574478,16.51537,20.160442,15.183103,0
-411.7791,79.673325,5.709995,-13.556438,8.770256,12.439415,-6.411025,-12.897879,-1.6310622,10.545055,20.11875,26.789204,20.768894,0
-401.9735,84.66009,-0.804252,-17.611382,11.215931,13.068327,-9.848757,-15.422887,-1.5360181,11.95686,22.987238,31.109528,24.10468,0
-393.60294,86.64755,-8.631073,-19.736443,12.844744,10.44656,-12.541531,-15.375509,-1.5085944,12.601347,24.785686,33.013313,26.332058,0
-387.61273,87.2763,-14.0446415,-20.023178,12.766878,6.7957177,-14.514143,-15.366462,-2.5595531,11.182539,25.055649,34.901985,29.404238,0
