Coefficients,Instruments
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.83492786,
1.6005149,
2.4154382,
3.1360064,
3.8612373,
4.82839,
6.713011,
8.576414,
9.804546,
10.300026,3;1
11.02071,3;1
12.131849,3;1
13.677525,3;1
14.866634,3;1
15.655359,3;1
16.800999,3;1
18.015934,3;1
19.570332,3;1
21.34811,3;1
21.792984,3;1
21.198227,3;1
20.611065,3;1
21.756035,3;1
24.751438,3;1
27.546425,3;1
29.444826,3;1
30.122128,3;1
29.769085,3;1
29.658846,3;1
29.816528,3;1
29.859194,3;1
29.776237,3;1
30.973747,3;1
33.972794,3;1
36.88147,3;1
38.35493,3;1
39.083096,3;1
38.808784,3;1
37.9914,3;1
38.886337,3;1
40.19784,3;1
40.923286,3;1
41.773193,3;1
43.48223,3;1
43.709503,3;1
49.253864,3;1
41.539154,3;1
41.334656,3;1
43.609497,3;1
47.050713,3;1
51.152153,3;1
53.945526,3;1
55.529533,3;1
56.550285,3;1
